N_dist,N_overlaps,reconstr_success,original_pattern,distorted_pattern
3,10,False,"[[0;0], [1;0], [2;5], [3;0], [4;5], [5;2]]","[[2;1], [4;3], [0;2], [3;0], [5;2], [1;0]]"
3,6,True,"[[0;3], [1;1], [2;4], [3;5], [4;0], [5;4]]","[[3;3], [1;2], [2;3], [5;4], [0;3], [4;0]]"
3,12,False,"[[0;5], [1;1], [2;5], [3;0], [4;3], [5;2]]","[[5;5], [1;0], [4;1], [2;5], [3;0], [0;5]]"
3,9,True,"[[0;0], [1;1], [2;2], [3;2], [4;4], [5;2]]","[[3;3], [5;3], [0;4], [4;4], [1;1], [2;2]]"
3,9,False,"[[0;3], [1;3], [2;2], [3;4], [4;0], [5;4]]","[[3;0], [4;1], [5;0], [2;2], [0;3], [1;3]]"
3,9,True,"[[0;1], [1;3], [2;5], [3;1], [4;3], [5;5]]","[[1;5], [3;0], [0;4], [4;3], [2;5], [5;5]]"
3,11,False,"[[0;4], [1;4], [2;5], [3;3], [4;3], [5;4]]","[[4;1], [0;5], [1;5], [3;3], [5;4], [2;5]]"
3,9,False,"[[0;1], [1;4], [2;0], [3;4], [4;5], [5;0]]","[[5;4], [1;2], [2;1], [0;1], [4;5], [3;4]]"
3,11,False,"[[0;0], [1;4], [2;2], [3;4], [4;4], [5;3]]","[[4;2], [5;1], [1;2], [2;2], [3;4], [0;0]]"
3,12,False,"[[0;1], [1;4], [2;0], [3;0], [4;3], [5;3]]","[[2;4], [3;5], [4;4], [5;3], [1;4], [0;1]]"
